username;view_count;like_count;comment_count;save_count;engagement_rate_influencer
jujumaoo;9964600.0;988900.0;3897.0;71069.0;13.734466545454545
julesleblanc;6322000.0;1238100.0;5199.0;41290.0;76.57894996183207
juliagisella;178900000.0;30313300.0;215641.0;1151600.0;44.408405125
juliano;95789400.0;8507500.0;33920.0;284698.0;65.89185851851852
juliapuzzuoli;61563500.0;7046714.0;57838.0;146409.0;58.902087882352944
julieevlorentzen;47628500.0;7481600.0;11084.0;326899.0;30.941949130434782
jumpersjump;96447300.0;10131600.0;52105.0;668188.0;106.21623117647059
junpei.zaki;881300.0;51738.0;13147.0;6310.0;29.014316483516485
justicia_y_verdad;34963800.0;2847238.0;48252.0;336272.0;38.546820952380955
justthenobodys;4692700.0;261200.0;2403.0;32285.0;56.84246266666667
jvke;36741700.0;5087700.0;24236.0;297607.0;51.134625696202534
jzgarcia;3211400.0;635800.0;1297.0;67478.0;13.662699626865672
k0uvr;12600000.0;1705600.0;4626.0;87308.0;28.572127415730336
kaansanity;79027200.0;10011300.0;71043.0;1770013.0;142.64106281777924
kaelimaee;5194100.0;790400.0;3060.0;30272.0;60.84312
kallmekris;3589400.0;690500.0;5125.0;38258.0;30.242174090909092
kallmewhateveryouwant;13700000.0;2094500.0;23963.0;93623.0;9.92690696969697
kane;50738100.0;6204853.0;56225.0;248225.0;180.29347826086956
kanebrown;3006600.0;404568.0;3607.0;6449.0;117.07900363636364
kangsoyeon_;6176100.0;785150.0;8134.0;20814.0;17.383356190476192
kanwal.135;88787400.0;5004100.0;30171.0;68485.0;34.629807346938776
karadenizli.maceraci;47131500.0;2963572.0;9283.0;144121.0;91.33568450404992
karenbarreraoficial;2385200.0;390698.0;770.0;11709.0;10.9395358
karenkardasha;32358500.0;3085854.0;15976.0;77154.0;28.900296363636365
karinateixeira21;1802.0;148.0;9.0;0.0;9.067874
karlwolfs;18203818.0;1135817.0;32659.0;48815.0;38.03708347826087
karna.val;8600000.0;1009600.0;7797.0;65826.0;17.09501088495575
karolg;59700000.0;8037000.0;28107.0;238900.0;72.76887209677419
karolsevillaokay;5073900.0;521500.0;2910.0;22164.0;18.59660870967742
katclark;4590900.0;814000.0;2889.0;24278.0;45.573791875
